forum_id,post_id,post_layer,post_time,user_id,post_content,number_of_words
385563,4088724,1,2014/5/31 7:40,20120,注射锐30早16u晚12u午餐前2mg诺和龙血糖基本达标，就是晚餐后有时超过10甚至12以上，所以晚餐时加服半片拜唐苹(一般不超8)，但是拜唐苹好像会影响空腹血糖，如服拜唐苹次日空腹是6—7，不服拜唐苹次日空腹是5—6。大家给个建议服还是不服拜唐苹,125
388711,4136601,1,2014/6/21 7:15,20120,5点测血糖是5，8 然后40分钟跑步4公里多，再打20分钟太极拳，浑身是汗，休息20分钟后检测血糖值6，3。运动量怎么样,61
388816,4138510,1,2014/6/21 21:59,20120,按照以前的经验，注射12u诺和锐30，大约100克干面条，餐二般在5-6。今晚临时改成稀饭和馒头，面食有点多，加上稀饭升糖快，结果餐二8.8。虽然不是太高，但以后还是得注意。,87
390369,4165071,1,2014/7/4 14:25,20120,可能是最近天气热，活动量相对大点，夜里睡的时间短。胰岛素减少2u，空腹血糖5左右，三餐后4.5一5.5。有点不放心，明天再减。,63
382303,4045279,12,2014/5/10 19:52,24,我得1型糖尿病已经有10年了，现在带了胰岛素泵，今年刚结婚，目前想怀孕，想请教各位生过孩子的有经验的糖妈妈们多给点意见，在下感激不尽啦！！！,70
382302,4045290,19,2014/5/10 20:04,24,我是1型糖尿病患者今年结婚的，今天测了怀孕试纸才知道刚怀孕，可是之前不知道怀孕了，前几天拉肚子还吃了3粒速效止泻胶囊，前天感冒还吃了颗感冒药，诶，不知道会不会对孩子有什么影响啊有经验的糖妈妈指导下，求教下怀孕该注意些什么啊谢谢啦！,117
39155,4045403,30812,2014/5/10 20:55,24,昨天去拿抽血报告医生说孕酮只有16.18偏低，我该怎么办呢，可以打黄体酮吗有经验的孕妈妈给点意见吧！,51
382328,4045729,13,2014/5/10 23:41,24,我现在怀孕13周了，我想问一下有没有1型糖尿病的糖妈妈在怀孕14周到18周之间有做过唐氏筛查的，就是检查时不是患有唐氏综合征的胎儿做过的告诉我一下，具体怎么做的，谢谢各位啦！,88
382362,4045730,2,2014/5/10 23:45,24, 怀孕4个月了一直是带着胰岛素泵治疗的，而且一直扎在肚子上的，后来听别人说怀孕到5个月的时候不能扎在肚子上了，要改其他部位，是真的吗,67
382951,4055606,9,2014/5/15 14:45,24,本人需要一台二手罗氏卓越血糖仪，最好有试纸。有意者联系QQ1021838994,41
382992,4056423,13,2014/5/15 20:54,24,坛子里有出售二手美版强生稳豪血糖仪的，据楼主说因为是美版的结果要除以18才是我们这里的读数。不知道美版血糖仪怎么样。试纸能用行货和水货吗楼主说58元+12快递出售 原装未开封的。性价比怎么样,99
383036,4056451,2,2014/5/15 21:01,24, 今天去药店买药，发现治疗糖尿病的药出了瑞格列奈还有其格列奈，齐格瑞奈。。。。。好多啊。不知道哪种副作用最小。哪位糖友能给介绍下，现在医院的大夫架子太大了，还没说两句就烦了,90
383022,4056480,14,2014/5/15 21:06,24,本人求购诺和龙，拜糖平,13
39155,4056498,30832,2014/5/15 21:14,24,请问俞月人 现在在天猫看到罗氏活力血糖仪不到100元，想进一台。不知道活力血糖仪怎么样，是指保质期如何。能给介绍下吗,59
383858,4071004,11,2014/5/22 15:23,24,这两天血糖总高。今天中午餐二11.7。空腹7.8这种情况有四五天了。不知道是不是病情加重了,45
383620,4071088,8,2014/5/22 15:45,24,昨天去医院，没见到主任只见到住院大夫。她给我说糖尿病属于渐进型疾病。我想咨询各位病友，胰岛素每天的最大计量是多少住院大夫说胰岛素已经到最大计量血糖还降不下来，可以加药，加的是什么药，是不是很贵我现在诺和锐＋长秀林10+6+615计量是不是算搞得了啊,129
383921,4071126,4,2014/5/22 15:52,24,最近在坛子里看到许多老糖友热情的帮助新糖友，感到很温暖。但是我发现有不少老糖友对于新糖友咨询的问题很武断。比如有咨询血糖高了是一型还是二型的。有糖友直接回答是二型！！！这简直是误人子弟，耽误病情。希望糖友们以后能慎重回答新糖友们的问题。大家共勉,122
383926,4071188,5,2014/5/22 16:03,24,如题，群里有不少病友用泵。说好处多多。但是感觉也没有好哪里去。比如泵的价格，耗材的更换，耗材的价格，使用时突然发生故障，堵泵&hellip;&hellip;本人认为还不如用胰岛素笔注射方便，经济。欢迎大家扔砖头。,106
383858,4071220,14,2014/5/22 16:11,24,糖肾能逆转吗,7
384815,4085857,4,2014/5/29 19:50,24,"蔡伦馆！ 1400238165958.jpeg (45.66 KB, 下载次数: 30) 下载附件 保存到相册 2014-5-16 20:28 上传 1400238420546.jpeg (97.4 KB, 下载次数: 26) 下载附件 保存到相册 2014-5-16 20:28 上传",145
395267,4246359,1,2014/8/12 16:50,93288,"火龙果真好吃，可是我们DM不敢吃啊，看着眼谗，吃吧，就一个而已，我多测看看，以下是各时结果： 一、中餐后2H的值： 中餐后2H.jpg (24.69 KB, 下载次数: 42) 下载附件 保存到相册 2014-8-12 16:46 上传 二、15：09开吃火龙果： 穿衣.jpg (62.4 KB, 下载次数: 40) 下载附件 保存到相册 2014-8-12 16:46 上传 穿衣267克 扒光.jpg (53.01 KB, 下载次数: 42) 下载附件 保存到相册 2014-8-12 16:45 上传 扒光了169克 三、15：41分测吃后30分钟： 水果后30分钟.jpg (31.71 KB, 下载次数: 41) 下载附件 保存到相册 2014-8-12 16:46 上传 四、16：09分测吃后60分钟： 水果后60分钟.jpg (31.55 KB, 下载次数: 41) 下载附件 保存到相册 2014-8-12 16:46 上传 五、16：38分测吃后90分钟： 水果后90分钟.jpg (24.31 KB, 下载次数: 42) 下载附件 保存到相册 2014-8-12 16:46 上传 降了，就不浪费试纸测120分钟的了。 总结下各时点的值： 汇总.jpg (36.35 KB, 下载次数: 39) 下载附件 保存到相册 2014-8-12 16:46 上传 试纸去了好几张，手上多了好几个小洞。",156
395331,4247625,1,2014/8/13 9:05,93288,近来用了三诺的智能血糖仪，它里面有显示温度值，一般我们试纸都有温度限制，有了温度显示就能很直观地看出是否在温度范围内测试。 还有就是加了它后也比其他厂家产品多了个功能。 当然这样也增加了成本，个人想法，呵呵,101
395815,4256652,1,2014/8/16 15:42,93288," 近来好多哈密瓜，能吃吗看网络上的值是41，属于低升糖指数食物，与苹果等同样值，应该是可食用的，但一次可食用多少呢，是否适合我呢自己来测测就知道了，同样吃前先测试下血糖～～～ 哈密瓜毛重.jpg (33.2 KB, 下载次数: 130) 下载附件 保存到相册 2014-8-16 15:40 上传 哈密瓜云皮.jpg (26.52 KB, 下载次数: 120) 下载附件 保存到相册 2014-8-16 15:40 上传 可食用部分441克（9两），先来下吃前的基础血糖： 吃前.jpg (61.23 KB, 下载次数: 128) 下载附件 保存到相册 2014-8-16 15:40 上传 坐等30分钟时的血糖 16点02分，30分钟值测出： 30分.jpg (46.71 KB, 下载次数: 117) 下载附件 保存到相册 2014-8-16 16:05 上传 16：32分，60分钟值测出： 60分.jpg (43.19 KB, 下载次数: 112) 下载附件 保存到相册 2014-8-16 16:36 上传 降了，没必要再测120分钟的了吧～～～呵呵",162
396470,4269877,1,2014/8/22 9:23,93288,"昨晚刚收到易准，正好餐后2小时来个对比，结果如下： 821W1.jpg (46.63 KB, 下载次数: 70) 下载附件 保存到相册 2014-8-22 09:21 上传 用的是随机的试纸，有人说不准确，就再扎了一下： 821W2.jpg (35.06 KB, 下载次数: 73) 下载附件 保存到相册 2014-8-22 09:21 上传 这个差的是有点多。 今早空腹再来个对比，结果如下： 822.jpg (36.84 KB, 下载次数: 71) 下载附件 保存到相册 2014-8-22 09:21 上传 总的而言，差别仍存在，是否存在试纸的原因尚待今后再次对比。",101
396787,4275375,1,2014/8/24 20:05,93288,"晚餐后没去运动，测了个2H血糖值，智能刚到手时感觉也不准，但近期测试结果还真的令我满意，不说托话，用数据来说明。 晚餐卓越.jpg (26.68 KB, 下载次数: 20) 下载附件 保存到相册 2014-8-24 20:03 上传 晚餐智能.jpg (30.44 KB, 下载次数: 25) 下载附件 保存到相册 2014-8-24 20:03 上传 是不是血糖仪和试纸都有个适应期。",75
406878,4495422,1,2014/11/13 17:40,93288,先占楼，呵呵,6
