forum_id,reply_id,reply_layer,reply_time,user_id,reply_content,number_of_words,original_post_id,original_post_content,原贴字数
376363,3940132,9,2014/3/26 9:52,1,可以，看个人资料里面。你是说要建地方分版是么？,23,4567770,请教如何控制空腹血糖最近餐后血糖控制得还行，大部分在8以下，但是空腹一直在7左右，不知道有没有好办法控制下,78
376367,3940441,4,2014/3/26 11:15,1,20人，才吃1300多。也不多嘛。,17,4569822,昨夜突然降温，结果起床晚了~~一觉睡到9点钟，想来测出的血糖也不准，干脆就不测了~~不知道睡懒觉对血糖有怎么的影响,77
376479,3941938,2,2014/3/26 21:49,1,控制体重，多运动，控制饮食。? ?别的，我觉得应该没有别的吧。 还是时常测测血糖吧,41,4571866,自从确诊后就减少饭量~~早餐一律荞麦面条，中午和晚上主食都是白米饭，一顿一小碗，没称过，大概一两多，大部分情况下饭后一小时快走半小时，直到感觉气喘，微热微汗，然后从每天下午两三点开始就老感觉隐隐有点饿~~晚上也是，不知道是不是吃得偏少了，还是运动量偏大最近这两天实在受不了就在下午4点左右吃十几颗炒蚕豆或喝一袋纯牛奶~~,23
376200,3944803,79,2014/3/27 22:51,1,戒不了的话，给每个在此帖跟帖的人100元。,21,4629059,这几天在给孩子断奶，感觉血糖好难控制啊，有没有有经验的宝妈来说说，断奶后会有什么变化啊。,23
177716,3950798,248,2014/3/30 23:20,1,今天坐公交，旁边是一中学生模样的孩子，拆开一袋巧克力，很快就吃了一大半。 我提醒道：小盆友，吃多巧克力并不好。 那孩子仰起头说，阿姨，你知道吗？我太公今年103岁了。 我惊讶：是因为多吃巧克力的原因吗 那熊孩子：不是，只是因为他从不管闲事。,120,4648878,本来想好好调血糖试管要个孩子，可是血糖越调越乱，想放弃,86
373917,3952372,34,2014/3/31 17:47,1,友好协商解决问题，不过53元50张，也是市场价。你也别动气。,30,4655565,今天睡吃过晚饭后胃里不舒服2小时后都吐了，血糖2.6没有低血糖感觉，想着该吃点东西，还在饼干时低血糖感觉很大手抖出汗，感快吃了个果冻，还没好就吃了一老婆饼，一片面包，一个米老头，一块糖还想吃，没敢吃，就躺下睡了一小时，感觉好多了，没那么难受了，想着吃了好多一定高血糖了，一测3.6还是低，唉，不知道吃啥好了，胃里不好受，不吃也不行，就吃了一柚子，打了10个单位睡觉，希望明天不要高血糖，好担心宝宝，听说低血糖宝宝在妈妈肚子里缺氧，宝宝一定要坚强,67
377626,3962194,3,2014/4/4 14:02,1,多谢提醒，价格太低，效期太好还有瓶子底部没有onetouch标志，让人怀疑。 如何鉴别真货参考： http://bbs.tnbz.com/thread-377082-1-1.html,91,4658835,请问下大家！为什么我血糖3.7没有症状只有血糖2.多会眼花一点多才出汗的感觉啊是血糖仪不准还是我感觉迟钝啊！好费解,223
177716,3965739,249,2014/4/5 21:46,1,其实东北人是最有礼貌的，因为他们做任何事之前都要征求对方的意见。 例如: 1.我削你，你信不？ 2.我就骂你了，咋地吧？ 3.我TMD能整死你，知道不？ 4.我又给你脸了，是不？ 同时，东北人做任何事前还都先让着对方。例如：你动我一下试试？,120,4660914,我是一个月查一尿常规，三个月查一糖化，是不是孕后期要勤查呢,86
377753,3965762,54,2014/4/5 21:53,1,不知道怎么安慰你好。??似乎是可以治疗的吧。 祝过好每一天。,30,4665800,三个多月测糖化血红蛋白6.9是不是太高了一直没怎么控制好！哎可是我静脉血和指血测第一次先测指血后测静脉血结果指血低一个可是第二次先测静脉血在测指血！指血就比静脉血低1.8个了！这是怎么回事太痛苦了怎么回事,188
378347,3976009,9,2014/4/10 13:05,1,吸烟似乎好处极少，可能让你的糖尿病治疗打很大折扣。,25,4666514,这三天又空腹高了，6-7点几，夜间血糖4-5很好了，可空腹又上去了，N已加到11单位，还接着加吗，关键是一加量夜间要测血糖，就睡不好，有知道该怎么办的吗,192
377871,3976047,59,2014/4/10 13:17,1,这话应该是我写的吧。 饮食治疗是糖尿病治疗的基础。??对此应该没有多大异议。 部分词句理解，各人不一样吧。??论坛本来就是让大家讨论的地方。,70,4692688,连续五天中午8-9.点多，加量也越来越高，还要加吗，已经15个单位了，要加到几,79
378622,3981308,9,2014/4/12 10:25,1,不偷不抢，你情我愿，那就羡慕吧，呵呵。,19,4699585,有糖妈这样吗这几天一直血糖不高昨天五点3.多吃东西6点5.多一天没怎么打胰岛素血糖也在六点多七那转！又不敢停胰岛素！今早上4.7。10点多饿了吃饭后不到1小时测量5.7。前五个月从没有这样过！因为对低血糖不敏感好怕老低血糖！血糖高害怕血糖低也害怕！好烦啊！为什么会这样！,83
378671,3982153,6,2014/4/12 16:45,1,吃粗粮有好处，不过靠之治愈也不靠谱。 患者若只是餐后血糖比较高，餐后运动 ，或者吃粗粮，都有助于降低餐后血糖，有可能通过这两种方式将餐后血糖降到正常值，不过这显然不是治愈。,86,4723966,这几天老是空腹高，加量不管用，医生让住院调胰岛素，可是住院也不见得就调下来呀，正在犹豫中,76
378718,3982985,8,2014/4/12 22:23,1,无非是花钱买的广告而已。,12,4996536,是不是吃得少，会出现乏力呢我觉得脚没力气哦,99
376543,3985754,22,2014/4/14 10:25,1,预祝聚会成功。,7,4187406,2014年5月10日做OGTT结果0H6·44/1H5·66/2H7·24/3H4·60当时医生看了报告说是糖前要我要注意饮食和运动期间我经历了：每天饭量减半每晚餐后1小时快走两月减肥4KG隔三差五去药房测血糖，但血糖反而越来越不如以前...最终找到原因：我不该早上起床隔1个小时去单位附近药房测空腹，因路上有个时间差这个误差会有点高6.多为此专门买了强生血糖仪每天隔三差五早上一起床就测如此测空腹从未超5.5餐二从未超7目前感觉良好，不再过分纠结血糖，保持健康生活习惯现在每周或半月测一次血糖，空腹基本都在5.几餐二6.几在此能学到蛮多、倾听不同层次“糖界”人士的不同声音取其精华去其糟粕集思广益为我所用祝您健康！！！,214
378891,3986143,3,2014/4/14 11:55,1,各地医院一般都有讲座。也欢迎大家把各地的讲座都能贴出来分享。,30,4586713,我今天真的毛了哈，上午10点半的时候，一个大约150克脐橙，午餐前2小块椒盐桃酥，然后起码150克魔芋烧鸭子，半碗蔬菜（300克左右），30克左右米饭，下午3点半左右200克柚子，晚餐吃了冷锅串串，可能没过重量，但热量嘛不知过了多少，今天彻底放开了整了一天，我觉得如果今天的举动是我防止崩溃的行为哈，每天过得小心翼翼的，自从成了糖以后，成了一个爱“算计”的人，一个“斤斤计较”的人，一个“犹豫不决”的人，但我今天可能要为我的放纵行为买单了，现在后悔了，从明天一定开始我的控糖生活。。。。,147
379272,3993028,3,2014/4/16 20:24,1,全好的标准是什么？？ 什么都能吃是什么意思？能放开量吃？,28,4588128,1.性别：女2.年龄：253.糖尿病类型：不知4.患病日期：20135.治疗方式：饮食运动6.出生地：浙江7.目前居住地：浙江8.兴趣特长：无9.注册原因：了解糖尿病10.你是从什么地方知道甜蜜家园的:网络11.你对甜蜜家园发展的意见和建议:无12.自我介绍和留言（包括QQ等联系方式）：~,155
379440,3996442,28,2014/4/18 10:33,1,第一季很不错。期待第二季。,13,4282894,建议辅以热茶与水果助消化中秋即将来临，大家总要尝尝时令月饼。月饼虽然好吃，并不是人人都适宜。姑苏区疾控中心提醒，七类人群在食用月饼时要注意。即便是身体健康、消化功能健全的成年人，也不宜过量。建议食用时辅以热茶、水果，可以解腻、助消化。一、糖尿病患者月饼本身含有大量糖份，糖尿病患者自然要忌食。月饼的含糖量、含脂量均很高，若吃过量，血糖立马会升高，油脂也会摄取过多。如果一定要吃，建议选择低糖或无糖月饼少量食用，同时平衡其他饮食的摄入量，对血糖、血脂也要密切关注。二、胆囊炎与胆石症患者这类病人也要小心，因为患有这两种病的人饱食过多月饼，可能产生急性胰腺炎。这种病发病急，少数患者可在短期内死亡。因此，尽量不要食用月饼。三、胃炎等消化系统患者消化系统不好的人，消化吸收能力本来就差，而月饼又属于高热量、高油脂的食品，进食后需要分泌大量的胃酸消化这些物质。月饼食用过多，会加重脾胃负担，对疾病的愈合不利，同时可能引起腹痛、腹泻。四、肾病患者传统月饼含糖、含脂量过高，一些新口味月饼（如香辣牛肉口味等）则含盐量不低。同时，大量香料、添加剂的加入，会大大加重肾脏负担，很容易诱发肾病加重甚至诱发急性肾衰竭。五、口腔疾病患者口腔疾病如龋齿患者也要少吃月饼。月饼中含有大量糖分，食用后如果不马上刷牙，食物残留在口腔，疾病会加重，范围会扩大。不只是龋齿患者吃后要立即刷牙洁齿，口腔健康的人群在食用后也要注意口腔清洁。六、心脑血管疾病患者及肥胖人士心脑血管疾病患者及肥胖人士尽量不要食用月饼。月饼中大量的糖和油脂可增加血液稠度，加重心脏缺血程度，可能诱发心肌梗塞。有的月饼，如蛋黄莲蓉月饼中含有蛋黄，胆固醇含量很高。一般患有心脑血管疾病的人，每日摄取胆固醇量不能超过四百毫克，而一个蛋黄约有六百至一千五百毫克，食用大量月饼很容易对病情产生影响。七、婴幼儿和老年人婴幼儿的消化系统发育不够健全，各种消化器官十分娇嫩和脆弱；而老年人各方面器官的功能都有所衰退，两者都难以承受大量高糖、高脂的食品。食用之后，非但无法吸收月饼的营养，反而还会给自己的身体带来负担，引发消化不良、腹泻，故尽量不食或者少食。,64
379157,3998310,22,2014/4/19 7:43,1, 控制饮食，多运动没错 北京市昌平区良庄西街,22,4290840,前天吃了根沃尔玛大油条，很实很实的，没有一点油炸的泡，咬一口跟外面卖的油条不一样，外面的油条炸的里面空的。一小时7.4。无运动。昨天吃了6个自己包的豆面精面粉饺子，还有蒸南瓜，2H9.1。今天为了试验多吃油血糖请况，喝了三勺麻辣烫麻酱汤，汤上面漂着油，饺子3个，南瓜一大块，很多菜，2H7.4。饺子包得大，馅肉多，运动都一样。每次只要吃饺子6--7个血糖都在8到10点多。还是菜多肉少的，平时炒菜放很少油，油少了好像对血糖难控制，以后吃面食可以多放点油。,49
379789,4002541,39,2014/4/21 10:22,1,太他妈浪费水了！！！！！！,13,4329375,好久没来了，最近空腹血糖一直没超过5.7，大部分都在5.2左右。餐2基本在7左右，坚持用药，适当忌口，饮食种类丰富，每天保证俯卧撑30个，基本与常人生活无异。近几日低血糖现象频发，虽及时采取措施但心中疑惑，难道胰岛功能在恢复觉得不可能，随即咨询专家，原来由于血糖保持良好，原来存于体内糖毒逐渐清除，增加了胰岛敏感性，胰岛功能反倒好起来，这是个好消息，专家建议我从原来10个单位速效1片阿卡波糖片减到8个单位速效胰岛素，一片阿卡波糖片。这也和每年我都要用两只长效胰岛素再强化一下有关系。自己感觉真的不错，和糖友们分享下。,247
379944,4004680,2,2014/4/21 22:49,1,应该跪钉子。,6,4781794,我想在家自己进行运动减肥，大家有没有好的运动方法告知谢谢帮忙～,96
380109,4007929,2,2014/4/23 9:55,1,哇，土豪金。,6,4813871,音乐能够给人带来美妙的享受，各种不同的音乐带给人的感受也不相同。对于糖尿病患者来讲，音乐保健法是一种令人愉快的自然疗法。音乐保健法的功能1、使人体分泌一种生理活性物质，调节血液循环和神经功能，让人富有活力，精神焕发。2、音乐节奏与旋律能使左脑休息，刺激右脑活动，对创造力、信息接收人力等潜在能力有激发作用。3、音乐能促进消化道活动，影响心脏血管系统，使血脉畅通，加速排除体内废物，有助疾病的恢复。选择曲目的原则音乐节拍约等于人的心率，节拍太快会让人紧张，节拍太慢又让人产生倦怠感。时间一个疗程一般为1~2个月，也可以3个月作为一个疗程。每周5~6次，每次约30分钟。推荐选用曲目糖尿病忧郁者：可选择速度较快、有生机的《诙谐曲》，或是节奏快、旋律优美的《圆舞曲》《江南春》，以及舒伯特的《小夜曲》等，能使人逐渐摆脱忧伤悲观的情绪。糖尿病身心劳倦者：可选择节奏鲜明、激情奔放的音乐，如《幻想曲》《锦上花》《假日的海滩》《矫健的步伐》等，以振奋精神、消除疲劳。糖尿病失眠者：建议听听中国民族乐曲《平湖秋月》，或莫扎特的《摇篮曲》。糖尿病并发冠心病者：要经常听平稳、柔情、优美的音乐，如《春江花月夜》、《二泉映月》《关山月》《小桃红》《我的祖国》《二月里来》《渴望》《月亮之歌》及《摇篮曲》等。这些音乐能消除精神紧张，可以放松身心，使人镇静，有催眠作用；还可消除烦躁不安感，调节呼吸和心律，对心血管系统有良好的调整作用，使血管舒张、血压降低，心脑血管血液供应得到改善，防治冠心病。糖尿病并发高血压者：可以听平静舒缓、朴实自然的音乐，如《平湖秋月》《茉莉花》《谁不说俺家乡好》《洪湖水浪打浪》《友谊地久天长》等，还可以听门德尔松的《春之歌》等，这些都能减轻精神紧张，稳定情绪，有助于血压下降。最好每天坚持散步30分钟，一边听音乐，一边散步，效果更好。,192
380250,4010653,2,2014/4/24 12:20,1,刚才是服务器被CC攻击了。昨天也发生过一次。也不知道谁这么无聊,31,4329375,好久没来了，最近空腹血糖一直没超过5.7，大部分都在5.2左右。餐2基本在7左右，坚持用药，适当忌口，饮食种类丰富，每天保证俯卧撑30个，基本与常人生活无异。近几日低血糖现象频发，虽及时采取措施但心中疑惑，难道胰岛功能在恢复觉得不可能，随即咨询专家，原来由于血糖保持良好，原来存于体内糖毒逐渐清除，增加了胰岛敏感性，胰岛功能反倒好起来，这是个好消息，专家建议我从原来10个单位速效1片阿卡波糖片减到8个单位速效胰岛素，一片阿卡波糖片。这也和每年我都要用两只长效胰岛素再强化一下有关系。自己感觉真的不错，和糖友们分享下。,149
380250,4010669,7,2014/4/24 12:29,1,攻击类型： 四层攻击： UDP洪水攻击? ?SYN洪水攻击? ?Ping洪水攻击? ?TCP连接攻击?? 七层攻击： HTTP Flood(CC攻击)?? 攻击IP： 111.137.124.134? ?111.129.147.177? ?111.129.153.123? ?111.129.151.133? ?111.131.124.124? ?111.131.117.149? ?111.128.134.181? ?111.131.120.136? ?111.123.214.205? ?111.119.166.177? ?111.119.151.192? ?111.117.160.197? ?111.119.145.118? ?111.119.148.211? ?111.117.172.201? ?111.117.173.136? ?111.122.167.157? ?111.119.195.212? ?111.113.213.204? ?111.113.177.200,441,4781794,我想在家自己进行运动减肥，大家有没有好的运动方法告知谢谢帮忙～,149
380982,4023315,4,2014/4/29 21:43,1,厂家就是JY。。。 一般别人送礼谁会塞张发票里面呢。 多打打售后电话。,35,4813871,音乐能够给人带来美妙的享受，各种不同的音乐带给人的感受也不相同。对于糖尿病患者来讲，音乐保健法是一种令人愉快的自然疗法。音乐保健法的功能1、使人体分泌一种生理活性物质，调节血液循环和神经功能，让人富有活力，精神焕发。2、音乐节奏与旋律能使左脑休息，刺激右脑活动，对创造力、信息接收人力等潜在能力有激发作用。3、音乐能促进消化道活动，影响心脏血管系统，使血脉畅通，加速排除体内废物，有助疾病的恢复。选择曲目的原则音乐节拍约等于人的心率，节拍太快会让人紧张，节拍太慢又让人产生倦怠感。时间一个疗程一般为1~2个月，也可以3个月作为一个疗程。每周5~6次，每次约30分钟。推荐选用曲目糖尿病忧郁者：可选择速度较快、有生机的《诙谐曲》，或是节奏快、旋律优美的《圆舞曲》《江南春》，以及舒伯特的《小夜曲》等，能使人逐渐摆脱忧伤悲观的情绪。糖尿病身心劳倦者：可选择节奏鲜明、激情奔放的音乐，如《幻想曲》《锦上花》《假日的海滩》《矫健的步伐》等，以振奋精神、消除疲劳。糖尿病失眠者：建议听听中国民族乐曲《平湖秋月》，或莫扎特的《摇篮曲》。糖尿病并发冠心病者：要经常听平稳、柔情、优美的音乐，如《春江花月夜》、《二泉映月》《关山月》《小桃红》《我的祖国》《二月里来》《渴望》《月亮之歌》及《摇篮曲》等。这些音乐能消除精神紧张，可以放松身心，使人镇静，有催眠作用；还可消除烦躁不安感，调节呼吸和心律，对心血管系统有良好的调整作用，使血管舒张、血压降低，心脑血管血液供应得到改善，防治冠心病。糖尿病并发高血压者：可以听平静舒缓、朴实自然的音乐，如《平湖秋月》《茉莉花》《谁不说俺家乡好》《洪湖水浪打浪》《友谊地久天长》等，还可以听门德尔松的《春之歌》等，这些都能减轻精神紧张，稳定情绪，有助于血压下降。最好每天坚持散步30分钟，一边听音乐，一边散步，效果更好。,30
381014,4023913,2,2014/4/30 9:39,1,怎么联系你？？？？？，没急事要打板子的。,20,4815955,中午单位食堂伙食还是不错的，米饭馒头炒菜还有汤，比较清淡可口，近一年血糖平稳，偶尔测测空腹都在4.8---5.8之间，晚间回家或在外面吃都要比在单位食堂吃的要丰盛些，测餐2都在7以下，所以中午基本不测，可前几天偶尔回家取东西一看时间正好午饭后两小时，一测吓了一跳，12.7！开始还怀疑血糖仪，可前几天刚做的生化误差0.3。于是我把机器拿到单位第二天中午饭后又测，也是12点多！找原因，一定是食堂午餐问题，第一时间就想到是那碗汤。食堂做的汤有西红柿鸡蛋汤、玉米羹汤或者紫菜蛋花汤，每一种汤都是勾兑很浓的淀粉芡。于是我从昨天中午开始就不喝汤，连续测了两天餐后2h都是7左右，今天中午米饭、西红柿炒鸡蛋、尖椒干豆腐，凉拌豆芽（放糖），我吃了很多，餐后也才7.6！我查了资料，勾芡的汤好比一碗浓糖水一般，糖尿病人碰不得啊！前几天测喝汤后3小时血糖能恢复到7以下，落差能达到5，这种一过性的高血糖更会伤害身体的。,13
381012,4023924,3,2014/4/30 9:41,1,一直在调整和优化之中。,11,4464047,常见“厨师”炒菜，锅里的油着火了，于是被夸为“厨艺高”，，，，，，，，,33
381454,4030978,2,2014/5/4 11:58,1,???,3,4464926,近些年来，“排毒”成为一个流行词汇。其实，从严格意义上来说，排毒并不是一个严谨的科学用语，并且至今没人能很明确地表述这个概念。但合理的膳食可以减少体内代谢废物和肠道发酵毒素的产生，可以提高人体的解毒功能，同时还能减少人体对一些毒素的吸收，促进其从肠道排出。因此，从这个角度来说，食物中有一些“排毒高手”。绿叶菜。多项研究证明，绿叶蔬菜中的叶绿素、膳食纤维和多种植物化学物，有利于减少污染物的吸收，促进它们从肠道排出，提高肝脏的解毒能力，减少致癌物的致突变作用。建议大家每天至少吃半斤绿叶菜，如小白菜、菠菜、茼蒿、芹菜、油麦菜等。海带。海带含褐藻胶、海藻酸等物质，可以降压降脂。尤其值得一提的是，海带中的活性物质可以与食物中的致癌物质相结合，将它们带出体外。此外，海带还富含多种微量元素，如碘、铁和钙等。木耳。木耳富含可溶性膳食纤维，是著名的润肺排毒食物。它可促进肠道蠕动，还能与胆固醇有效结合而预防高血脂。现代医学认为，木耳所含的一种植物胶质，有较强的吸附力，可将残留在人体消化系统的灰尘杂质集中吸附，再排出体外，从而起到排毒清胃的作用。燕麦。燕麦当中不仅富含纤维素和半纤维素，可以与重金属类物质结合，还富含β葡聚糖等可溶性膳食纤维，对于降低血糖、预防高血脂等都很有帮助，也能促进食物中的污染物排出。西兰花。除富含维生素、矿物质、叶绿素、β胡萝卜素等多种基本营养素外，西兰花中还富含吲哚和硫氰酸盐等有益成分，这些都有助于清除体内毒素，从而减小肾脏负担，并且有助预防癌症。,7
381462,4031129,3,2014/5/4 13:30,1,两个都有关系。罗氏笔的弹道设计比较合理，减少了震动。 罗氏采血针针头做了特殊处理。,41,4464956,食物中嘌呤含量一览表，一、痛风患者可以吃的食物。二、痛风不能吃（尽量不要吃）的食物。三、痛风患者可适当吃一点的食物。食物、热量、脂肪、嘌呤。一、痛风患者可以吃的食物食物热量脂肪嘌呤名称(千卡)(克)(mg)菠菜920.513.3奶粉151211.115.7莴仔670.515.2柠檬1340.33.4鸡蛋白15103.7鸡蛋黄140729.72.6芹菜710.38.7辣椒2560.214.2姜840.25.3白菜970.39.7葱头1510.48.7橙子1810.23橘子1680.22.2西瓜1050.11.1苹果1930.21.3猪血800.611.8海参1220.14.2白米7690.318.4玉米3910.69.4面粉15201.217.1蜂蜜12940.21.2马铃薯3400.33.6,102
381527,4032137,4,2014/5/4 18:25,1,http://bbs.tnbz.com/thread-381489-1-1.html 来测试这个体验更加。 移动APP。,60,4466412,昨天晚上下班后和同事出去吃饭，去的港式的茶餐厅。点了虾饺和牛肉炒饭。虾饺就吃了2个，炒饭太难吃，吃了半碗。回家测2小时10.2.我感觉根本没吃饱，还想着回家喝袋奶呢，一看这个血糖值就没喝。那么问题来了：如果到外面吃饭我应该点什么样的菜式才能既吃饱又不让血糖飙升呢大家有没有好的建议呢,31
166286,4035061,247,2014/5/5 22:22,1,泰尔茂的采血针是空心的。疼感比较小。,18,4466993,能说出是什么吗,151
381823,4037948,10,2014/5/7 11:15,1,10来次就好了 来自安卓客户端,15,4567770,请教如何控制空腹血糖最近餐后血糖控制得还行，大部分在8以下，但是空腹一直在7左右，不知道有没有好办法控制下,73
394825,4238614,10,2014/8/9 16:36,1,我喜欢吃鸡蛋羹，? ?煎鸡蛋其实也挺喜欢吃的，不过一般会放油，而我血脂不大好。,39,4569822,昨夜突然降温，结果起床晚了~~一觉睡到9点钟，想来测出的血糖也不准，干脆就不测了~~不知道睡懒觉对血糖有怎么的影响,103
394830,4238617,3,2014/8/9 16:36,1,没听说过相关性，有怀疑的话，上医院化验下。,21,4571866,自从确诊后就减少饭量~~早餐一律荞麦面条，中午和晚上主食都是白米饭，一顿一小碗，没称过，大概一两多，大部分情况下饭后一小时快走半小时，直到感觉气喘，微热微汗，然后从每天下午两三点开始就老感觉隐隐有点饿~~晚上也是，不知道是不是吃得偏少了，还是运动量偏大最近这两天实在受不了就在下午4点左右吃十几颗炒蚕豆或喝一袋纯牛奶~~,27
394912,4240981,3,2014/8/10 16:07,1,我觉得孩子想吃多少就吃多少，然后在匹配相应的胰岛素量，当然孩子若肥胖的话就要控制饮食量。 其余控制零食，控制饮料，饮食多样，保证营养。 我说的未必对，问问有经验的医生吧。,85,4629059,这几天在给孩子断奶，感觉血糖好难控制啊，有没有有经验的宝妈来说说，断奶后会有什么变化啊。,102
395212,4245389,7,2014/8/12 12:14,1,以前这种芯片解决两个问题：??试纸的校准码以及试纸的有效期。 现在可能有更好的解决方案。,44,4648878,本来想好好调血糖试管要个孩子，可是血糖越调越乱，想放弃,64
395214,4245400,3,2014/8/12 12:18,1,嗯。??再说也难以控制到血糖跟正常人完全一样。 2型糖尿病很复杂，血糖高只是其一种表现而已。 胰岛细胞除了分泌胰岛素之外还分泌其他激素。,68,4655565,今天睡吃过晚饭后胃里不舒服2小时后都吐了，血糖2.6没有低血糖感觉，想着该吃点东西，还在饼干时低血糖感觉很大手抖出汗，感快吃了个果冻，还没好就吃了一老婆饼，一片面包，一个米老头，一块糖还想吃，没敢吃，就躺下睡了一小时，感觉好多了，没那么难受了，想着吃了好多一定高血糖了，一测3.6还是低，唉，不知道吃啥好了，胃里不好受，不吃也不行，就吃了一柚子，打了10个单位睡觉，希望明天不要高血糖，好担心宝宝，听说低血糖宝宝在妈妈肚子里缺氧，宝宝一定要坚强,55
395222,4245693,10,2014/8/12 13:52,1,父母要坚强点。??既然得了，只有勇敢面对了。,22,4658835,请问下大家！为什么我血糖3.7没有症状只有血糖2.多会眼花一点多才出汗的感觉啊是血糖仪不准还是我感觉迟钝啊！好费解,206
395426,4249252,2,2014/8/13 18:01,1,多找几家医院，多听几个大夫的。,15,4660914,我是一个月查一尿常规，三个月查一糖化，是不是孕后期要勤查呢,153
395430,4249253,2,2014/8/13 18:01,1,似乎没有这个副作用吧。,11,4665800,三个多月测糖化血红蛋白6.9是不是太高了一直没怎么控制好！哎可是我静脉血和指血测第一次先测指血后测静脉血结果指血低一个可是第二次先测静脉血在测指血！指血就比静脉血低1.8个了！这是怎么回事太痛苦了怎么回事,8
395497,4250505,2,2014/8/14 9:38,1,我记得1型糖尿病是不是有特殊照顾呀。你问问当地医保部门吧，各地的医保政策还不大一样。,42,4666514,这三天又空腹高了，6-7点几，夜间血糖4-5很好了，可空腹又上去了，N已加到11单位，还接着加吗，关键是一加量夜间要测血糖，就睡不好，有知道该怎么办的吗,52
395559,4251815,2,2014/8/14 16:34,1,阿卡波糖主要就是降低餐后血糖的。你可以试试。,22,4692688,连续五天中午8-9.点多，加量也越来越高，还要加吗，已经15个单位了，要加到几,167
395588,4252121,2,2014/8/14 18:31,1,人总是要死的。,7,4699585,有糖妈这样吗这几天一直血糖不高昨天五点3.多吃东西6点5.多一天没怎么打胰岛素血糖也在六点多七那转！又不敢停胰岛素！今早上4.7。10点多饿了吃饭后不到1小时测量5.7。前五个月从没有这样过！因为对低血糖不敏感好怕老低血糖！血糖高害怕血糖低也害怕！好烦啊！为什么会这样！,45
395618,4253127,29,2014/8/15 8:01,1,先上照片，我再决定,9,4723966,这几天老是空腹高，加量不管用，医生让住院调胰岛素，可是住院也不见得就调下来呀，正在犹豫中,204
